upc,item,brand,segment,flavor,pack_type,total_sales,total_units,weeks_observed,promo_weeks,avg_aup,promo_week_pct
200027758703,CTL BR DRNK WTR BTL 24PK 16.9 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,MULTI PACK,1112227.4255820285,259958.6772175078,60,1,4.347050009453412,0.016666666666666666
78616241116,GLC SMR WTR ASRTD BVRG BTL 33.8 FL OZ,"GLACEAU SMART WATER (ENERGY BRANDS, INC.)",SUW,UNFLAVORED,SINGLE PACK,1065238.306403376,443764.8099129437,56,19,2.4237738148072157,0.3392857142857143
200054827725,CTL BR DSTL WTR JUG 128 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,SINGLE PACK,1049754.3354192916,773752.0890315974,60,2,1.3571948747192046,0.03333333333333333
85300400403,CR HYD ELCT TST 7.4 PH DRNK WTR BTL 30.4 FL OZ,"CORE HYDRATION (CORE NUTRITION, LLC)",SUW,UNFLAVORED,SINGLE PACK,1041462.4622040582,513545.4837890992,60,36,2.0711632087198746,0.6
200028564884,CTL BR DSTL WTR JUG 128 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,SINGLE PACK,1027707.8249213343,679659.8823340744,60,0,1.5115959633924092,0.0
63256500011,FJ YQR VT LEVU ARTS WTR BTL 24PK 16.9 FL OZ,FIJI (NATURAL WATERS OF VITI LIMITED),SUW,UNFLAVORED,MULTI PACK,1025312.9236293586,46841.52308230812,60,14,22.014072955281666,0.23333333333333334
200065210826,CTL BR DRNK WTR BTL 35PK 16.9 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,MULTI PACK,1024742.8311911856,206103.33470309997,60,0,4.973358970914022,0.0
6827493471,PR LF DRNK WTR BTL 24PK 16.9 FL OZ,PURE LIFE (PRIMO BRANDS CORPORATION),SUW,UNFLAVORED,MULTI PACK,1022729.7822044195,248183.82659331194,60,22,4.136254274905858,0.36666666666666664
200030046188,CTL BR DRNK WTR BTL 32PK 16.9 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,MULTI PACK,987585.9066603698,188002.94665389968,60,0,5.263962414961035,0.0
200034530762,CTL BR DRNK WTR BTL 80PK 8 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,MULTI PACK,980500.3239771065,109214.04883445044,60,0,8.977874201529138,0.0
